client_id,client_name,first_name,last_name,email,preferred_server,session_duration,message_count,initial_message,response_pattern,rating_tendency,arrival_offset,priority,client_type,expected_wait_tolerance,chat_complexity,technical_level,satisfaction_threshold,retry_attempts,preferred_response_time,session_goal
19,Phoenix_Hill_0019,Phoenix,Hill,phoenix.hill19@company.com,Server_A,316,21,I want to upgrade my plan,quick,random,58494,low,new,323,complex,advanced,5,1,55,technical
20,Indigo_Clark_0020,Indigo,Clark,indigo.clark20@company.com,Server_B,195,21,Can you help me reset my password?,quick,random,6496,low,new,556,medium,beginner,5,1,15,complaint
21,Quinn_Rivera_0021,Quinn,Rivera,quinn.rivera21@outlook.com,Any,588,10,Could you explain how this feature works?,medium,positive,15521,high,new,125,simple,beginner,5,2,40,information
22,Finley_Clark_0022,Finley,Clark,finley.clark22@outlook.com,Server_B,1407,44,"Hello, I need help with my account",random,neutral,49709,high,premium,116,simple,advanced,5,2,6,complaint
23,Phoenix_Wright_0023,Phoenix,Wright,phoenix.wright23@test.net,Server_C,839,5,There's an error in my order,medium,random,22630,medium,returning,574,medium,advanced,3,2,31,complaint
24,Ruby_Miller_0024,Ruby,Miller,ruby.miller24@test.net,Any,1491,35,Can you provide more information?,random,positive,75835,low,returning,513,complex,intermediate,2,3,53,information
25,Jesse_Miller_0025,Jesse,Miller,jesse.miller25@yahoo.com,Any,456,48,My account is not working properly,slow,negative,51708,low,new,471,simple,advanced,4,3,59,information
26,Charlie_Clark_0026,Charlie,Clark,charlie.clark26@example.org,Server_A,406,45,I have a question about your service,quick,random,44724,low,returning,157,complex,advanced,3,3,50,support
27,Leo_Jackson_0027,Leo,Jackson,leo.jackson27@test.net,Server_A,915,13,I need assistance with billing,slow,negative,85756,medium,premium,272,simple,beginner,4,3,19,technical
28,Wendy_Lewis_0028,Wendy,Lewis,wendy.lewis28@company.com,Server_A,425,44,Can you provide more information?,quick,neutral,15947,medium,premium,523,complex,beginner,2,3,17,purchase
29,Olivia_White_0029,Olivia,White,olivia.white29@yahoo.com,Server_A,1217,41,I need training on how to use this,medium,negative,53933,low,premium,158,complex,intermediate,3,3,7,support
30,Gray_Wright_0030,Gray,Wright,gray.wright30@yahoo.com,Server_C,403,48,I'm having trouble accessing my data,random,random,77266,high,new,253,medium,beginner,2,2,31,technical
31,Xavier_Scott_0031,Xavier,Scott,xavier.scott31@test.net,Any,472,23,I need help with configuration,slow,positive,68604,low,returning,398,complex,advanced,3,1,37,purchase
32,Drew_Rivera_0032,Drew,Rivera,drew.rivera32@sample.co,Server_B,308,18,My account is not working properly,slow,negative,20540,high,new,506,complex,beginner,3,3,47,purchase
33,Jack_Smith_0033,Jack,Smith,jack.smith33@example.org,Any,246,20,I want to upgrade my plan,slow,neutral,45308,high,premium,74,complex,beginner,2,2,23,purchase
34,Jesse_Campbell_0034,Jesse,Campbell,jesse.campbell34@company.com,Any,546,21,I'm having trouble accessing my data,medium,random,29190,medium,new,100,complex,intermediate,4,2,34,support
35,Yara_Mitchell_0035,Yara,Mitchell,yara.mitchell35@gmail.com,Any,1587,46,Can you check my account status?,quick,random,17779,low,returning,565,complex,beginner,2,2,24,complaint
36,Drew_Nguyen_0036,Drew,Nguyen,drew.nguyen36@company.com,Server_C,836,32,Could you explain how this feature works?,quick,neutral,20535,low,new,521,simple,advanced,3,3,40,purchase
37,Indigo_Lopez_0037,Indigo,Lopez,indigo.lopez37@yahoo.com,Server_B,905,14,I need assistance with billing,quick,neutral,67762,high,returning,450,medium,beginner,5,1,24,complaint
38,Ellis_Nguyen_0038,Ellis,Nguyen,ellis.nguyen38@client.biz,Any,771,34,There's an error in my order,medium,negative,12050,medium,returning,432,complex,beginner,3,2,17,purchase
39,Gray_Flores_0039,Gray,Flores,gray.flores39@company.com,Server_B,1577,21,I'm experiencing problems with login,medium,negative,1279,medium,premium,236,simple,intermediate,2,1,45,technical
40,Ellis_Martin_0040,Ellis,Martin,ellis.martin40@yahoo.com,Server_C,1477,28,I need help with configuration,quick,positive,60011,low,returning,476,medium,beginner,2,1,48,information
41,Taylor_Miller_0041,Taylor,Miller,taylor.miller41@gmail.com,Any,80,8,The system is running slowly,medium,random,50887,medium,premium,411,complex,advanced,2,3,39,technical
42,Jesse_Perez_0042,Jesse,Perez,jesse.perez42@sample.co,Any,383,22,I have a question about your service,quick,neutral,52568,low,premium,308,complex,intermediate,3,1,57,purchase
43,Uma_Anderson_0043,Uma,Anderson,uma.anderson43@example.org,Any,690,50,I'm having trouble accessing my data,quick,random,62935,medium,premium,30,complex,intermediate,3,1,15,information
44,Leo_Green_0044,Leo,Green,leo.green44@client.biz,Server_A,1362,40,I need training on how to use this,slow,positive,81362,low,new,495,simple,intermediate,5,2,19,information
45,Charlie_Anderson_0045,Charlie,Anderson,charlie.anderson45@client.biz,Any,242,16,Can you check my account status?,slow,neutral,59521,low,new,174,complex,intermediate,3,2,42,purchase
46,Sage_Smith_0046,Sage,Smith,sage.smith46@demo.io,Any,453,7,There's an error in my order,random,random,51417,medium,premium,325,medium,advanced,5,3,25,information
47,Drew_Clark_0047,Drew,Clark,drew.clark47@yahoo.com,Server_C,1800,16,There's an error in my order,quick,neutral,29240,low,premium,336,simple,advanced,4,2,30,technical
48,Charlie_Williams_0048,Charlie,Williams,charlie.williams48@gmail.com,Any,475,24,I need help with configuration,slow,random,7638,high,premium,379,complex,beginner,4,1,57,purchase
49,Yara_Torres_0049,Yara,Torres,yara.torres49@example.org,Server_A,1275,32,I have a complaint about the service,quick,random,18229,medium,returning,269,complex,intermediate,5,1,38,complaint
50,Kendall_Smith_0050,Kendall,Smith,kendall.smith50@sample.co,Server_B,1152,33,There's an error in my order,quick,neutral,6021,high,new,106,complex,advanced,4,3,30,support
51,Sam_Baker_0051,Sam,Baker,sam.baker51@gmail.com,Server_B,854,15,Can you check my account status?,quick,random,8154,medium,new,105,simple,beginner,2,2,10,purchase
52,Henry_Martinez_0052,Henry,Martinez,henry.martinez52@hotmail.com,Server_C,251,27,I want to upgrade my plan,random,random,15937,low,new,487,medium,beginner,2,2,7,technical
53,Ivy_Garcia_0053,Ivy,Garcia,ivy.garcia53@client.biz,Any,882,20,I have a question about your service,medium,negative,47165,high,premium,509,medium,intermediate,2,3,43,purchase
54,Oakley_Green_0054,Oakley,Green,oakley.green54@outlook.com,Server_C,164,31,Can you help me with a technical issue?,random,random,58378,high,returning,465,simple,beginner,2,1,32,information
55,Wendy_Allen_0055,Wendy,Allen,wendy.allen55@yahoo.com,Server_C,1264,25,I need training on how to use this,random,negative,6828,low,new,427,simple,intermediate,3,1,16,complaint
56,Xavier_Lee_0056,Xavier,Lee,xavier.lee56@outlook.com,Server_C,1255,45,"Hello, I need help with my account",quick,positive,71127,medium,premium,134,simple,intermediate,4,1,23,complaint
57,Phoenix_Thompson_0057,Phoenix,Thompson,phoenix.thompson57@example.org,Any,121,34,Can you provide more information?,quick,negative,77810,medium,new,330,simple,intermediate,5,3,32,purchase
58,Nico_Torres_0058,Nico,Torres,nico.torres58@yahoo.com,Server_C,310,9,I want to cancel my subscription,slow,random,67824,high,new,96,complex,advanced,3,2,24,information
59,Mia_Garcia_0059,Mia,Garcia,mia.garcia59@sample.co,Server_B,249,6,My account is not working properly,random,neutral,52641,low,returning,100,complex,beginner,3,3,5,information
60,Harper_Mitchell_0060,Harper,Mitchell,harper.mitchell60@sample.co,Server_B,1643,39,Can you provide more information?,quick,neutral,60178,low,premium,226,complex,advanced,3,2,48,information
61,Taylor_Hill_0061,Taylor,Hill,taylor.hill61@company.com,Server_C,1254,33,I want to cancel my subscription,quick,random,43158,medium,premium,342,medium,advanced,5,3,57,purchase
62,Victor_Martinez_0062,Victor,Martinez,victor.martinez62@test.net,Server_B,301,45,I need training on how to use this,quick,neutral,83598,high,returning,363,simple,beginner,5,1,50,support
63,Phoenix_Green_0063,Phoenix,Green,phoenix.green63@outlook.com,Server_C,1701,15,I need training on how to use this,random,positive,33146,medium,returning,336,simple,intermediate,5,1,23,technical
64,Henry_Martin_0064,Henry,Martin,henry.martin64@client.biz,Any,1800,30,There's a bug in the application,medium,random,66464,high,new,318,simple,advanced,4,1,20,purchase
65,Casey_Johnson_0065,Casey,Johnson,casey.johnson65@client.biz,Server_B,1363,6,I'm having trouble accessing my data,quick,negative,47005,high,premium,440,complex,advanced,5,3,37,complaint
66,Peter_Rodriguez_0066,Peter,Rodriguez,peter.rodriguez66@company.com,Server_A,1135,37,I need assistance with billing,slow,negative,26576,high,new,392,simple,beginner,4,3,60,purchase
67,Jack_Anderson_0067,Jack,Anderson,jack.anderson67@demo.io,Server_C,1305,34,I need training on how to use this,slow,random,26022,low,returning,255,simple,beginner,4,2,59,technical
68,Leo_Jackson_0068,Leo,Jackson,leo.jackson68@demo.io,Server_A,1541,30,The system is running slowly,quick,positive,13577,medium,returning,204,medium,intermediate,4,1,50,complaint
69,Karen_Hernandez_0069,Karen,Hernandez,karen.hernandez69@company.com,Any,964,33,My account is not working properly,medium,random,61091,medium,new,181,medium,beginner,4,2,8,purchase
70,Alice_Perez_0070,Alice,Perez,alice.perez70@demo.io,Server_C,1028,6,I need assistance with billing,slow,neutral,66220,low,returning,462,simple,advanced,2,1,49,support
71,Jesse_Wilson_0071,Jesse,Wilson,jesse.wilson71@outlook.com,Server_C,602,24,I want to upgrade my plan,medium,positive,51722,low,new,143,simple,beginner,4,1,17,complaint
72,Kendall_Wilson_0072,Kendall,Wilson,kendall.wilson72@gmail.com,Server_B,365,36,I need help with integration,medium,neutral,3318,high,premium,570,simple,intermediate,4,2,20,support
73,Alex_Thomas_0073,Alex,Thomas,alex.thomas73@client.biz,Server_B,1110,35,I'm having trouble accessing my data,medium,negative,60789,low,new,368,simple,intermediate,3,3,19,support
74,Sage_Wilson_0074,Sage,Wilson,sage.wilson74@outlook.com,Any,67,39,I want to upgrade my plan,medium,neutral,69375,low,premium,323,simple,advanced,3,3,60,complaint
75,Ruby_Ramirez_0075,Ruby,Ramirez,ruby.ramirez75@test.net,Any,1398,49,I need training on how to use this,random,random,65016,medium,premium,580,complex,beginner,2,3,25,purchase
76,Alice_Smith_0076,Alice,Smith,alice.smith76@company.com,Server_A,1342,16,I need training on how to use this,medium,positive,61134,high,new,545,simple,beginner,4,2,13,information
77,Gray_Nguyen_0077,Gray,Nguyen,gray.nguyen77@test.net,Server_A,1776,8,The system is running slowly,medium,positive,15794,high,returning,87,simple,advanced,3,3,53,complaint
78,Wendy_Sanchez_0078,Wendy,Sanchez,wendy.sanchez78@gmail.com,Any,1173,33,I need assistance with billing,random,neutral,54235,medium,premium,52,complex,beginner,3,1,30,technical
79,Bob_Jackson_0079,Bob,Jackson,bob.jackson79@company.com,Server_B,192,10,Can you check my account status?,quick,positive,47808,low,new,296,medium,beginner,2,2,26,complaint
80,Lane_Hernandez_0080,Lane,Hernandez,lane.hernandez80@company.com,Any,247,24,I have a complaint about the service,slow,positive,22916,high,returning,574,simple,beginner,3,1,21,complaint
81,Karen_Martin_0081,Karen,Martin,karen.martin81@sample.co,Server_B,491,12,There's a bug in the application,random,random,10450,medium,premium,82,simple,intermediate,5,1,50,purchase
82,Ivy_Garcia_0082,Ivy,Garcia,ivy.garcia82@hotmail.com,Server_C,1415,27,I have a question about your service,slow,random,22150,medium,new,152,medium,intermediate,4,3,50,support
83,Lane_Robinson_0083,Lane,Robinson,lane.robinson83@company.com,Server_C,726,35,I need help with integration,medium,random,34620,low,returning,348,complex,advanced,2,1,7,information
84,Indigo_Mitchell_0084,Indigo,Mitchell,indigo.mitchell84@hotmail.com,Any,1626,32,I need assistance with billing,quick,positive,29112,medium,new,401,medium,intermediate,3,2,52,complaint
85,Eve_Perez_0085,Eve,Perez,eve.perez85@yahoo.com,Any,302,33,Can you help me with a technical issue?,random,random,71481,medium,premium,323,complex,intermediate,3,2,33,technical
86,Morgan_Nelson_0086,Morgan,Nelson,morgan.nelson86@company.com,Server_B,934,7,I'm experiencing problems with login,quick,negative,46352,low,premium,428,medium,intermediate,5,1,19,support
87,Lane_Allen_0087,Lane,Allen,lane.allen87@example.org,Server_B,116,47,My account is not working properly,medium,positive,21359,medium,new,226,simple,advanced,4,2,12,information
88,River_Harris_0088,River,Harris,river.harris88@company.com,Server_B,552,24,I need training on how to use this,quick,negative,62023,high,returning,287,simple,beginner,2,2,56,information
89,Zoe_Garcia_0089,Zoe,Garcia,zoe.garcia89@sample.co,Any,518,43,I'm having trouble accessing my data,medium,neutral,52678,low,returning,569,medium,intermediate,2,2,25,information
90,Diana_Hall_0090,Diana,Hall,diana.hall90@demo.io,Server_A,782,49,Can you provide more information?,quick,positive,37232,medium,new,397,medium,beginner,3,3,43,purchase
91,Drew_Wright_0091,Drew,Wright,drew.wright91@client.biz,Any,1559,36,I want to cancel my subscription,medium,random,38060,medium,returning,280,complex,beginner,3,3,56,support
92,Zoe_Baker_0092,Zoe,Baker,zoe.baker92@example.org,Server_B,1164,11,I want to upgrade my plan,random,neutral,82493,low,new,388,medium,advanced,3,2,51,complaint
93,Ruby_Brown_0093,Ruby,Brown,ruby.brown93@sample.co,Server_A,1433,37,I need help with configuration,quick,positive,7524,medium,returning,507,simple,intermediate,3,2,39,complaint
94,Finley_Smith_0094,Finley,Smith,finley.smith94@gmail.com,Server_C,194,20,Can you provide more information?,slow,positive,13074,medium,new,199,medium,intermediate,5,2,26,complaint
95,Sam_Johnson_0095,Sam,Johnson,sam.johnson95@example.org,Server_B,589,8,There's an error in my order,quick,positive,60676,high,returning,170,complex,intermediate,4,3,23,purchase
96,Zoe_Perez_0096,Zoe,Perez,zoe.perez96@outlook.com,Server_A,144,17,I'm experiencing problems with login,random,negative,33029,high,new,145,complex,advanced,3,1,28,support
97,Phoenix_Lewis_0097,Phoenix,Lewis,phoenix.lewis97@test.net,Server_C,1776,48,I'm experiencing problems with login,quick,neutral,58253,low,returning,299,medium,advanced,2,1,27,support
98,Leo_Hall_0098,Leo,Hall,leo.hall98@demo.io,Server_A,1164,14,Can you help me reset my password?,random,random,48938,medium,new,411,complex,beginner,2,3,35,complaint
99,Gray_Jones_0099,Gray,Jones,gray.jones99@test.net,Server_A,1285,34,I have a complaint about the service,slow,negative,18409,low,premium,279,simple,beginner,2,2,11,information
100,Peter_Rivera_0100,Peter,Rivera,peter.rivera100@gmail.com,Server_C,384,16,My account is not working properly,quick,random,45367,low,returning,307,complex,advanced,4,2,51,purchase
101,Lane_Williams_0101,Lane,Williams,lane.williams101@outlook.com,Server_C,719,45,I need training on how to use this,quick,negative,31026,low,returning,195,medium,advanced,4,3,11,purchase
102,Alice_Baker_0102,Alice,Baker,alice.baker102@yahoo.com,Any,674,23,"Hello, I need help with my account",slow,random,55031,high,new,355,simple,intermediate,3,3,59,information
103,Finley_Green_0103,Finley,Green,finley.green103@yahoo.com,Any,288,12,Can you help me reset my password?,medium,positive,32938,low,premium,188,simple,advanced,2,2,6,information
104,Nico_Young_0104,Nico,Young,nico.young104@outlook.com,Server_B,1547,44,I have a question about your service,random,positive,3021,medium,premium,410,simple,intermediate,3,3,47,technical
105,Taylor_Walker_0105,Taylor,Walker,taylor.walker105@client.biz,Any,303,18,I need assistance with billing,quick,positive,8158,low,returning,63,complex,advanced,5,1,11,technical
106,Grace_Brown_0106,Grace,Brown,grace.brown106@hotmail.com,Server_B,1508,15,I'm experiencing problems with login,medium,random,20876,high,new,62,simple,beginner,4,2,33,purchase
107,Mia_Baker_0107,Mia,Baker,mia.baker107@client.biz,Any,790,25,I need training on how to use this,quick,positive,79546,medium,returning,334,simple,intermediate,4,3,44,information
108,Olivia_Nguyen_0108,Olivia,Nguyen,olivia.nguyen108@company.com,Server_B,969,45,Could you explain how this feature works?,medium,positive,26058,medium,returning,122,medium,advanced,5,2,50,purchase
109,Unique_Rodriguez_0109,Unique,Rodriguez,unique.rodriguez109@test.net,Server_C,171,44,Could you explain how this feature works?,random,neutral,46753,medium,new,385,medium,beginner,4,1,19,support
110,Quinn_Lee_0110,Quinn,Lee,quinn.lee110@demo.io,Server_B,86,22,Can you check my account status?,random,random,75448,low,returning,489,medium,beginner,2,2,49,information
111,Drew_Hernandez_0111,Drew,Hernandez,drew.hernandez111@test.net,Server_A,782,9,There's an error in my order,quick,random,40403,high,new,408,medium,intermediate,2,3,60,purchase
112,Indigo_Ramirez_0112,Indigo,Ramirez,indigo.ramirez112@example.org,Any,1404,47,Can you check my account status?,medium,positive,27140,medium,premium,227,complex,beginner,4,1,13,purchase
113,Jesse_Young_0113,Jesse,Young,jesse.young113@client.biz,Any,1593,29,I'm having trouble accessing my data,random,neutral,23539,high,new,48,medium,advanced,2,2,37,information
114,Yara_Hall_0114,Yara,Hall,yara.hall114@example.org,Server_C,607,25,Can you help me with a technical issue?,random,negative,23307,high,returning,549,medium,advanced,4,1,38,information
115,Peter_Torres_0115,Peter,Torres,peter.torres115@yahoo.com,Server_B,861,47,I need assistance with billing,medium,random,79580,high,returning,547,complex,advanced,4,3,30,purchase
116,Noah_Thompson_0116,Noah,Thompson,noah.thompson116@example.org,Server_A,1613,22,I need assistance with billing,medium,negative,19533,low,premium,211,medium,beginner,3,2,56,information
117,Noah_Lewis_0117,Noah,Lewis,noah.lewis117@demo.io,Server_B,1276,47,Could you explain how this feature works?,medium,positive,64168,low,new,125,medium,advanced,2,3,57,purchase
118,Lane_Smith_0118,Lane,Smith,lane.smith118@gmail.com,Server_C,935,24,Can you check my account status?,slow,positive,25509,low,premium,42,simple,advanced,3,3,35,complaint
119,Finley_Walker_0119,Finley,Walker,finley.walker119@hotmail.com,Any,1339,17,The system is running slowly,slow,positive,37689,high,premium,228,simple,advanced,4,3,40,technical
120,Quinn_Green_0120,Quinn,Green,quinn.green120@example.org,Server_A,1384,11,I have a complaint about the service,medium,negative,45306,low,new,165,simple,intermediate,5,2,10,technical
121,Tina_Wilson_0121,Tina,Wilson,tina.wilson121@hotmail.com,Any,1671,12,Can you help me with a technical issue?,random,negative,71418,low,returning,494,complex,beginner,4,1,49,complaint
122,Blake_Rivera_0122,Blake,Rivera,blake.rivera122@yahoo.com,Server_A,223,22,The system is running slowly,medium,negative,69090,medium,returning,535,simple,advanced,5,3,7,technical
123,Indigo_Wright_0123,Indigo,Wright,indigo.wright123@test.net,Server_C,1098,43,I need help with integration,slow,random,40206,medium,premium,225,complex,beginner,3,2,8,purchase
124,Nico_Nelson_0124,Nico,Nelson,nico.nelson124@demo.io,Server_A,958,37,I want to cancel my subscription,slow,random,60093,medium,new,407,simple,intermediate,3,3,36,purchase
125,Henry_Hernandez_0125,Henry,Hernandez,henry.hernandez125@company.com,Any,241,47,I need help with configuration,random,negative,43348,low,new,94,medium,intermediate,5,2,26,technical
126,Victor_Flores_0126,Victor,Flores,victor.flores126@company.com,Any,1155,42,I need help with integration,quick,positive,79080,high,returning,596,complex,beginner,2,1,35,information
127,Unique_Robinson_0127,Unique,Robinson,unique.robinson127@sample.co,Server_B,1710,40,There's a bug in the application,random,negative,44910,high,new,114,medium,advanced,5,3,12,technical
128,Bob_Davis_0128,Bob,Davis,bob.davis128@yahoo.com,Server_A,1394,23,Can you help me with a technical issue?,quick,random,36611,medium,returning,207,complex,beginner,5,1,59,support
129,Jack_Martin_0129,Jack,Martin,jack.martin129@example.org,Server_A,296,11,Can you help me reset my password?,slow,negative,16081,medium,new,153,simple,beginner,5,2,45,purchase
130,Tina_Moore_0130,Tina,Moore,tina.moore130@yahoo.com,Server_A,355,14,I need training on how to use this,medium,random,77593,medium,premium,47,medium,advanced,4,2,18,complaint
131,Ellis_Lewis_0131,Ellis,Lewis,ellis.lewis131@yahoo.com,Server_A,734,14,I'm having trouble accessing my data,medium,negative,27694,low,returning,475,complex,beginner,4,2,27,purchase
132,Henry_Williams_0132,Henry,Williams,henry.williams132@company.com,Any,1257,42,I have a question about your service,slow,negative,75384,low,new,335,complex,intermediate,4,2,48,complaint
133,Yara_Wilson_0133,Yara,Wilson,yara.wilson133@example.org,Server_C,1282,7,There's a bug in the application,slow,positive,7798,low,premium,117,complex,advanced,4,3,53,technical
134,Alice_Hill_0134,Alice,Hill,alice.hill134@hotmail.com,Any,1394,18,Can you help me reset my password?,medium,random,13424,high,new,472,complex,advanced,2,1,5,technical
135,Drew_Ramirez_0135,Drew,Ramirez,drew.ramirez135@demo.io,Server_A,1262,22,I need help with integration,quick,neutral,51083,medium,returning,394,medium,intermediate,4,1,27,information
136,Bob_Harris_0136,Bob,Harris,bob.harris136@test.net,Server_B,617,42,My account is not working properly,random,negative,10517,high,premium,334,complex,beginner,3,3,44,information
137,Yara_Lewis_0137,Yara,Lewis,yara.lewis137@hotmail.com,Server_B,1655,20,I want to upgrade my plan,slow,neutral,29545,high,premium,32,medium,advanced,3,1,41,support
138,Blake_Wilson_0138,Blake,Wilson,blake.wilson138@company.com,Any,1454,31,The system is running slowly,slow,neutral,57812,high,returning,96,medium,intermediate,3,1,40,technical
139,Nico_Sanchez_0139,Nico,Sanchez,nico.sanchez139@example.org,Server_B,653,24,I have a question about your service,quick,neutral,8205,high,returning,481,simple,beginner,5,2,48,information
140,Harper_Mitchell_0140,Harper,Mitchell,harper.mitchell140@gmail.com,Server_B,1580,32,My account is not working properly,random,random,22115,high,premium,43,medium,beginner,2,1,39,technical
141,Mia_Green_0141,Mia,Green,mia.green141@client.biz,Server_B,907,5,I have a question about your service,quick,positive,37975,high,premium,594,medium,advanced,4,2,20,complaint
142,Alex_Lewis_0142,Alex,Lewis,alex.lewis142@example.org,Server_B,1800,39,I need training on how to use this,quick,negative,35907,medium,new,56,complex,beginner,5,3,48,information
143,Morgan_Jackson_0143,Morgan,Jackson,morgan.jackson143@demo.io,Any,708,30,Can you check my account status?,slow,random,59619,low,premium,520,simple,intermediate,5,1,16,purchase
144,Lane_Scott_0144,Lane,Scott,lane.scott144@gmail.com,Server_A,1413,42,I want to cancel my subscription,slow,random,31267,medium,returning,539,simple,intermediate,4,3,5,purchase
145,Ivy_Wilson_0145,Ivy,Wilson,ivy.wilson145@hotmail.com,Server_C,720,40,I need assistance with billing,random,negative,20124,low,returning,428,simple,intermediate,4,1,53,technical
146,Kendall_Flores_0146,Kendall,Flores,kendall.flores146@yahoo.com,Server_B,1633,5,Can you help me with a technical issue?,slow,positive,44086,medium,returning,452,simple,intermediate,4,3,6,technical
147,Karen_Wright_0147,Karen,Wright,karen.wright147@demo.io,Server_A,1146,19,I want to cancel my subscription,random,negative,85946,medium,new,389,medium,beginner,4,3,47,support
148,Leo_Scott_0148,Leo,Scott,leo.scott148@yahoo.com,Server_C,313,47,Can you help me reset my password?,slow,neutral,30150,medium,new,257,complex,advanced,4,2,26,technical
149,Unique_Perez_0149,Unique,Perez,unique.perez149@yahoo.com,Any,796,30,My account is not working properly,random,random,28047,low,returning,247,complex,beginner,2,1,58,information
150,Victor_Thompson_0150,Victor,Thompson,victor.thompson150@example.org,Server_C,608,18,Could you explain how this feature works?,slow,random,84699,medium,returning,426,medium,beginner,2,1,31,support
151,Harper_Flores_0151,Harper,Flores,harper.flores151@hotmail.com,Any,1267,26,I have a question about your service,random,negative,44365,low,premium,96,medium,advanced,2,1,11,technical
152,Frank_Johnson_0152,Frank,Johnson,frank.johnson152@outlook.com,Server_B,1271,48,I'm having trouble accessing my data,quick,negative,39602,low,premium,35,medium,beginner,4,3,33,support
153,Finley_Sanchez_0153,Finley,Sanchez,finley.sanchez153@yahoo.com,Server_A,1100,33,I need training on how to use this,medium,neutral,36476,high,returning,94,complex,intermediate,5,3,31,support
154,Casey_Nguyen_0154,Casey,Nguyen,casey.nguyen154@demo.io,Server_C,1145,23,My account is not working properly,slow,positive,62846,high,returning,422,simple,intermediate,5,1,47,technical
155,Victor_Johnson_0155,Victor,Johnson,victor.johnson155@example.org,Server_A,581,12,I need training on how to use this,quick,random,33767,high,new,38,simple,intermediate,3,3,16,complaint
156,Alex_Miller_0156,Alex,Miller,alex.miller156@hotmail.com,Server_C,798,34,Can you check my account status?,slow,positive,23434,high,new,239,complex,advanced,5,1,44,complaint
157,Frank_Davis_0157,Frank,Davis,frank.davis157@demo.io,Any,1327,8,Can you provide more information?,slow,positive,68470,low,premium,60,medium,intermediate,5,1,59,purchase
158,Ruby_Young_0158,Ruby,Young,ruby.young158@client.biz,Server_A,206,40,There's an error in my order,quick,neutral,61200,medium,premium,383,complex,intermediate,2,1,44,information
